Taxon	Specimen #	1			2			3			4			5			6			7			8			9			10			11			12			13			14			15			16			17			18			19			20			21			22			23			24			25			26			27			28			29		
Ael_sp.	AMNH 61757	309.882	93.0591	57.4104	289.3455	104.7655	63.9317	309.0355	110.0223	182.7578	375.4371	77.9034	84.0185	244.1306	150.0434	80.0483	311.3376482	102.5956071	80.7921438	297.6216	111.5503	81.1468	338.128067	84.46274277	52.13129323	269.2297	129.4439	53.9128	325.4832	91.6574	238.4015	284.3311	115.9878	238.4216	349.1187	117.8369	166.7777	290.8033	147.6594	167.3772	349.0071	81.8959	140.2952	261.3206	132.0223	140.4702	337.1748	154.9664	151.5999	334.1245	69.4555	150.9937	330.8512	82.1958	128.9221	255.6986	113.7928	152.9143	270.1628	116.6977	129.7958	317.3504	89.1335	230.2493	284.8361	106.9611	230.173	363.2727	140.4579	148.0311	304.0552	168.9571	144.2165	324.5056426	79.66073393	29.03073169	269.4696	115.5917	30.4538	339.552	164.1019	22.5435	327.2676	107.6464	34.2065	286.0823	123.9342	31.6626
Can_dir	LACMHC 2300-4	-94.2938	357.8721	74.2975	-111.408	340.8353	72.3368	-117.6451	336.1193	203.0956	-64.6457	413.6986	108.8939	-167.9829	303.4559	84.0551	-96.9778	362.4095	86.1593	-118.0941	340.6505	81.178	-76.6954	388.3709	68.7581	-135.8373	324.4037	53.978	-103.0334	339.4417	275.208	-136.5508	305.8364	267.1672	-113.7201	389.1236	180.5919	-165.5283	335.732	172.0329	-77.0535	372.8216	169.0938	-143.5849	302.1096	151.5098	-162.4011	384.1365	163.5707	-70.5267	359.5777	179.9747	-81.5813	361.7386	155.5454	-130.4285	292.7291	165.015	-129.1155	309.2315	143.276	-103.2813	333.4094	264.7673	-128.2042	307.3359	259.8031	-128.9435	414.6637	149.2113	-187.1838	355.3314	136.4182	-69.8939	371.7238	47.3428	-115.3222	324.0203	35.7672	-143.3333	403.0068	7.2084	-91.5355	382.5563	44.7476	-128.3766	344.4144	36.1825
Epi_hay	LACM 131855	-319.5504	82.8965	54.2613	-306.399	60.0545	55.5363	-289.5598	77.4692	186.665	-315.152887	140.7070243	77.21697166	-284.3935	1.1424	82.6685	-325.231	81.3498	72.7097	-310.3257	58.7316	67.7679	-339.2881	108.6813	46.7155	-302.7975	32.7495	42.3223	-284.013	105.3182	239.1987	-262.6258	61.0039	233.6056	-325.0671687	100.3692507	159.2973533	-311.6686	39.5759	161.672	-288.8633537	118.0465691	130.1397304	-270.9158	36.6131	133.3206	-342.1533	65.8267	172.73	-296.0983	119.2252	160.0761	-305.1843	107.9011	138.1069	-256.0924	49.7431	154.5333	-273.0033	53.5323	133.1465	-276.335	99.8324	227.2869	-262.6156	70.5344	227.5398	-333.3213088	105.1411914	133.6970161	-316.7363	29.89	136.6364	-327.8919	102.9866	19.5627	-301.9585	43.7858	16.3077	-386.2262	52.0448	14.8968	-341.4095	87.4666	23.8041	-324.1317	45.4387	23.108
Hes_sp.	NMNH 459576	-147.1955	291.7201	71.7437	-146.3978	284.4967	68.1221	-161.7725	286.0775	108.2666	-150.2819	309.2835	82.6175	-158.1613923	272.5691062	74.60784402	-147.3199	292.3627	75.5881	-148.2060207	288.2338321	74.68734125	-143.4757	302.2656	70.2562	-146.942	276.4819	64.0001	-167.0749	286.5758	128.7953	-169.877	279.1691	125.8789	-167.2483	297.5745	108.8456	-170.8125	278.2237	104.0276	-154.9649	301.8891	102.8694	-160.2961	272.4205	97.8615	-175.7953	290.4649	101.9507	-153.165	297.7124	107.0634	-152.7817	296.7344	97.846	-157.1702	273.2797	100.7564	-156.7779	277.8294	93.5191	-166.0181	286.7532	126.7967	-167.7986	279.0855	124.4984	-169.9758	299.6277	94.6406	-173.4788	283.5406	90.7967	-142.3625	301.618	58.3035	-145.8187059	285.5138527	54.79019999	-165.253	297.7036	53.1609	-146.2258	300.7048	56.0536	-150.7893	282.9401	53.364
Par_jos	YPM 12702	317.0446283	117.2987342	61.93538948	305.3596	122.7705	58.605	298.5644	131.343	123.0627	345.4209	105.5944	74.6776	275.2054	145.1821	59.8952	315.7846	117.2805	63.0522	302.2494	124.3126	61.1649	331.3248	111.1624	51.2317	291.211	128.9617	45.1062	297.8335	133.9629	164.8135	282.6003946	141.0961292	160.4718611	321.5892	138.2731	126.693	289.2561	154.2599	118.6229	327.0855	117.1178	112.1968	278.2625	144.2877	99.3227	313.577	158.621	113.9723	315.0052	113.1544	121.5135	317.1091	116.9756	108.5223	277.2993	133.7708	110.4975	284.7336	134.9487	98.651	296.8299	131.6409	160.7566	282.1097	139.009	157.9685	332.1478	144.1301	107.2461	300.5998	163.4996	99.5824	329.8301	107.9104	37.5629	302.4046794	120.7529431	29.74628801	329.074	149.1093	29.0082	331.7676	116.8425	35.0193	304.873	133.071	28.6191
Tom_sp.	AMNH 61156	315.3884	124.3952	68.0209	303.174	133.4273	66.4712	296.2589	128.8726	148.0191	349.5422	110.1578	89.1066	279.6165	165.914	75.526	319.1125	123.3007	71.1776	302.0124	138.3856	67.1071	332.7505	111.5983	59.3367	289.469	147.2996	52.2396	302.1262	119.4627	183.7736	280.1525	136.7572	181.7891	325.2142	127.9531	140.4434	292.8911	155.5558	133.7768	327.6938	110.1397	120.3408	277.1966	151.9195	112.1885	320.5659	153.8233	139.21	312.3399	103.9732	136.8487	314.7917	110.6724	118.2978	269.3913	136.2253	129.6234	279.3177	138.8977	110.9219	296.9755	119.425	177.6344	281.239	132.2126	176.1904	341.0978	142.5743	117.8852	309.6037	168.7827	113.2825	323.7288	106.2546	46.8985	288.2428	135.8642	41.0249	339.3388	158.0524	29.3813	329.4272	124.4051	40.7332	303.2444	141.7565	37.2765
Enh_pah	AMNH 27579	318.6872	157.6505	63.1862	309.053	164.8381	60.6749	307.8123	172.9146	144.3665	371.0881145	151.0178666	92.02771189	278.5177	204.5524	71.1525	322.0738	159.2668	71.2182	309.0651	169.8047	68.0411	337.1064	143.2622	58.1123	291.2526	177.9871	50.8398	311.916	165.8443	179.7174	288.2529	184.7891	173.8671	334.0535	168.0387	144.2337	296.1754	199.5173	135.5969	348.3124411	155.3880786	132.7756265	279.0065	195.4685	117.1467	326.8675	199.0094	130.4844	324.0023	143.9501	131.6085	326.3656	152.7668	119.5657	281.3346	178.9017	122.3022	291.1694	181.0215	110.8727	306.364	165.3845	171.0923	291.468	177.5086	167.9539	341.8192	183.5244	125.5518	308.166	209.9394	118.9848	331.562	139.2373	37.0201	294.0233	166.7584	29.0727	340.928	193.1202	26.6178	334.1153	156.8214	35.2364	307.4373	174.9044	31.7603
Cuo_alp	FMNH38515	349.154	13.7131	50.7162	340.1889	26.8456	51.421	351.9942	31.6703	127.4279	381.1201	-18.2767	61.4523	320.1608	68.2095	55.3481	350.8082	15.3926	55.0734	341.9455	27.4069	53.7727	362.3411	-7.1396	35.9827	325.1235	44.6996	32.5226	362.0812	25.7279	170.0663	347.2347	47.5946	168.6113	381.1638	19.5075	117.4279	349.1864	61.0183	114.2816	369.0051	-1.4554	103.0224	326.9913	54.4414	100.7115	385.3662	53.5957	102.7473	359.4044	-3.39	110.4277	359.8968	3.4781	97.8075	322.2737	46.9425	107.1232	329.33	45.0205	95.3196	356.992	23.5149	163.0642	343.5422	43.3632	162.6792	397.5905	28.5084	92.2581	368.442	71.9824	91.958	350.8441	-8.479	25.5549	321.6459	31.748	22.4771	388.7006841	49.46175501	24.60102648	360.590674	6.440384919	20.82895853	337.0491509	36.25009184	18.86350811
Spe_ven	FMNH87861	318.6051	110.6992	38.0395	309.8225	119.9433	37.334	318.6282	125.5412	99.9298	343.0777	96.2332	55.4625	296.8478	147.432	50.597	320.0014	116.4728	49.6936	314.6898	122.2176	48.8934	329.046	102.1848	33.7278	302.3977	131.6832	32.0574	330.5844	125.3102	126.6507	317.0547	140.3993	124.8112	341.493	124.1289	95.0388	320.8336	147.9008	93.1289	332.4156	106.3411	84.5716	303.0775	140.1345	80.7436	341.9179	145.5595	91.6823	327.4384	104.7495	88.6682	325.3981	110.7148	79.5592	300.821	136.2219	85.7986	306.0146	132.1631	78.1257	325.1213	124.6268	123.158	315.1429	135.0915	122.4047	350.0054	132.2415	78.8542	329.7354	154.9013	75.9318	326.4006	99.1204	21.5896	300.3845	128.388	19.0151	346.8454088	142.8792751	21.55169659	329.9782865	112.2512892	20.60007945	313.9718049	130.8360213	18.81239793
Can_lup	FMNH153800	295.1609	144.0408	71.9625	284.222	158.3616	69.819	277.9851	154.3756	167.2715	339.0499	117.9412	92.1931	261.3503	208.7399	78.6885	293.9456	141.2711	76.5492	280.7142	159.5521	73.4877	313.1424	122.5107	59.5121	269.5256	178.9054	54.3586	285.0184	145.2493	224.7972	263.3432	173.3725	221.4117	323.3736	151.0358	152.5645	289.1504	196.496	147.166	308.403	122.5564	137.8449	258.2377	186.35	129.3446	322.0169	184.5136	141.0303	293.5648	116.4992	150.8645	297.2189	127.6858	129.7469	247.7955	175.4272	142.7521	259.695	175.3755	125.0814	277.8228	144.6091	215.1579	261.7486	165.5565	212.1993	342.8983	162.0645	122.433	310.555	207.8119	124.1686	303.3733	119.3782	42.0085	268.3905	168.1138	35.629	344.2971784	192.1621527	50.35901679	315.0761642	136.5261318	38.40629127	285.0236706	173.3796677	33.92155145
