	1			2			3			4			5			6			7			8			9			10			11			12			13			14			15			16			17			18			19			20			21			22			23			24			25			26			27			28			29		
vulpes_1	315.2145	63.3743	36.1666	310.0419	70.6029	35.2602	318.9246	70.0068	85.3535	333.4165	46.559	41.7529	302.3536	94.3852	43.4495	316.6384	64.6289	39.3457	312.4733	72.2568	40.1954	323.0551	50.5506	25.8077	298.6509	82.4612	28.6224	327.2568	66.89	118.1233	319.558	78.324	118.2515	338.1116	65.9265	78.111	322.7517	89.7412	78.7748	330.1214	53.1881	64.5901	306.7804	88.568	64.3524	337.4963	82.1549	75.3756	321.1791	52.7099	77.6413	321.0686	55.4956	65.4948	303.1879	79.866	78.2661	305.4247	78.9928	66.51	323.99	66.8909	116.0845	318.3749	75.4247	116.5411	344.4764	71.779	58.5521	329.8062	94.3114	59.4931	315.6331	51.7432	19.6566	298.6953	76.7068	20.8952	338.0135376	84.6384937	17.30577608	319.9548896	59.1628287	16.70666532	306.9114996	77.14030803	16.88148614
vulpes_2	320.8527	61.3532	41.2342	312.2611	68.8453	39.958	320.7013	73.868	93.0639	343.0753	49.0307	47.6605	296.2635	89.5888	43.8893	321.7377	63.8107	43.7376	314.3315	70.5201	44.1478	332.5296	49.3293	29.7031	298.6856	77.1014	27.1365	330.019	75.6754	127.2523	318.5576	85.0138	126.2211	342.4112	75.7452	86.5902	319.1067	95.2454	84.8486	337.4225	56.4972	74.0997	302.3548	86.1642	72.8692	334.9838	90.0503	85.5594	328.8817	55.622	86.1036	328.9672	57.7552	72.9744	301.6493	78.8067	84.2272	304.6869	77.8427	72.0362	327.8495	74.4485	123.4592	318.1462	82.2996	122.6698	346.6352	80.6604	66.5939	323.8671	99.8857	64.8613	325.8475	49.896	21.648	302.2175927	70.32058657	20.00078554	340.2301508	89.49659358	19.33753752	328.0406034	59.91893555	19.68224744	310.1188195	73.41153249	18.1362875
vulpes_3	319.5467	63.9044	38.439	314.1001	69.2337	38.2106	320.1339	72.5939	83.127	341.0955	49.9733	45.2613	299.6526	91.1664	42.7919	321.0816	65.3844	40.2883	315.4293	70.629	40.7872	330.1699	51.4282	28.0397	300.7076	77.3487	28.649	328.8303	73.7574	115.9289	318.9407	83.4438	115.4512	338.603	69.9758	80.6136	317.848	91.3921	79.7407	333.6303	56.9165	67.6298	305.1712	85.4187	65.8157	336.0649	87.7022	74.0666	326.8951	55.8146	76.8828	326.4094	57.2747	65.624	303.8086	78.7595	75.4272	306.747	78.6244	63.9415	326.1451	72.9406	113.7449	318.8401	80.3841	112.848	346.3578	77.0909	60.692	326.3203	98.0063	59.3301	322.3601	51.2192	21.3368	303.1866	70.8929	20.1208	338.1386773	87.78550984	18.392652	325.7368974	59.08231322	18.87314906	309.1482784	73.41763531	17.42531062
vulpes_4	278.2815	172.5907	39.5867	270.4716	176.9413	38.6504	276.6264	181.6179	91.6775	303.5385	167.1563	46.0356	252.3748	195.998	44.2466	279.0654	175.0974	43.0667	271.8095	178.7947	42.4013	291.7847	163.4875	27.8201	254.8124	181.6399	29.0616	284.6964	182.8572	125.1935	271.7407	190.8533	124.3817	296.5777	186.0761	82.6923	271.4469	200.609	82.2061	297.6916	171.655	69.2338	258.489	194.2028	67.1949	288.4569	200.8641	78.8125	288.874	168.0734	81.7728	287.4171	170.8616	67.9359	259.7802	184.2741	80.306	262.8327	184.3761	68.0782	281.5593	181.9235	122.1188	272.3999	187.3978	120.6145	299.376	194.8146	61.8748	278.1592	207.6116	61.7605	284.2798	160.0928	21.4985	257.5698	175.5279	21.2762	289.4260506	198.9919664	17.59018499	284.7671697	168.8389007	18.83459666	264.5569824	179.5520149	18.01994652
vulpes_6	277.5066	171.5668	39.6759	268.8474	175.3051	39.2163	279.1007	181.576	92.3433	308.0552	166.9214	44.9188	246.7033	196.5785	47.3954	278.6659	173.9202	43.2869	270.5004	177.4971	43.2271	290.0754	162.1978	28.7155	253.3225	179.3116	33.0732	289.942	185.0903	125.2575	275.2644	191.6768	125.4208	298.9703	186.976	83.6092	269.3842	200.8701	84.3455	298.676	170.731	69.1293	256.583	189.5073	70.2764	288.1978	202.3466	77.5427	290.421	166.222	81.5664	288.8075	168.0408	68.3389	258.6221	181.647	82.173	261.2979	181.5473	68.0337	287.0116	183.8532	122.5481	276.1115	188.7221	123.4809	301.3555	196.6206	62.1389	274.6814	209.5715	62.7199	283.5578	160.9296	20.8638	255.3282	174.2042	21.8933	286.0575979	201.8277951	18.20659732	283.7755031	170.1670229	18.47198162	261.9768749	179.0581908	19.09336851
vulpes_7	274.986	174.8406	37.6969	266.0634	178.9739	37.7673	275.4516	183.6156	87.4906	300.0893576	170.2480086	42.86209873	247.5195	195.8891	44.6277	275.7696	177.0697	41.1192	267.4776	181.0207	41.1126	287.9512	167.2531	26.2929	250.6422	183.502	29.3109	285.5981	185.8633	118.6766	272.9248	191.3869	119.0249	293.2084	188.5643	80.6624	267.1047	200.8271	81.5125	292.2541	173.5084	65.6782	256.5315	191.1647	67.5334	284.0521	202.9607	76.2713	286.4031	170.4112	79.9699	284.3225	171.2469	68.1546	257.7037	184.0936	81.1004	258.597	184.0415	68.8691	282.6555	184.139	115.8531	273.0804	188.8664	116.5967	295.8472	196.8898	61.1641	271.3788	209.1873	61.7645	281.695	164.8645	21.4303	253.8077	177.5514	22.2374	285.0844435	206.8244128	23.09481152	281.257007	174.0122064	18.03421793	260.6253524	182.4513401	18.47993398
vulpes_8	272.8683	172.6183	36.0149	265.2081	176.7561	35.9649	270.8346	179.7357	85.4976	297.7671	167.1061	43.15	245.8927	194.9517	43.0788	273.3073	174.5467	39.2502	266.4047	178.4464	38.7852	285.5818	165.1827	25.7922	251.0597	181.7917	27.277	279.138	180.6997	118.1402	266.3197	187.4545	117.8605	290.7782	185.8129	79.5162	265.7093	199.7373	79.6038	288.1482	170.8904	65.8763	253.3047	187.974	66.6926	281.9175	200.1588	77.0167	282.5313	166.5585	77.1469	281.7654	168.929	64.1602	253.1659	181.7565	77.0569	255.6048	182.5672	63.7864	275.8722	178.5232	115.0763	266.7303	183.79	115.9736	294.4153	194.5546	60.7894	270.6116	207.4037	60.8244	279.6637	163.3593	20.1191	253.5614	178.3098	19.9257	285.4522891	205.687938	22.53284533	280.4477743	171.748948	17.37658012	259.715819	180.7681259	17.56709541
vulpes_9	273.5454	173.2725	38.3784	266.0908	177.7303	37.916	271.721	177.3377	90.2197	301.4714	165.6302	45.3206	247.2384	199.2637	45.5142	274.1755	174.8032	40.6694	267.0648	179.493	40.8143	286.0673	164.8353	25.8979	251.0767	184.5045	28.9349	280.8994	175.665	126.559	267.9023	184.2103	126.8443	292.3101	181.9979	84.8195	268.6494	198.0742	85.55	291.0811	166.9114	67.9561	254.0593	189.0227	70.7131	285.8291	197.5989	83.1628	283.0501	163.178	81.6865	282.1595	166.5468	69.154	254.2527	182.1468	82.1283	257.3639	182.4359	69.733	277.7314	174.5986	123.2267	267.6746	180.8246	123.4431	297.8081	192.5726	65.2759	274.3615	207.2533	66.2566	277.4874197	163.6412024	19.71109667	253.5314	180.4458	20.5514	288.0823047	203.8143912	22.85821883	280.9336046	172.8175951	17.82893602	261.4077164	183.7838276	18.23224428
vulpes_10	277.4466	173.4412	38.828	267.7211	177.5941	38.2397	269.86	176.905	95.1356	305.675	168.1325	49.416	243.8869	194.5164	46.5339	277.8365	176.0446	43.2942	268.867	179.6598	42.1163	292.5163	167.3418	27.729	253.2345	183.707	26.0806	277.4866	177.354	132.2144	261.8615	183.8997	131.2458	290.9908	184.3592	90.8368	262.5807	197.5571	89.3794	292.2401	168.296	75.5564	250.2087	187.2897	72.8128	280.9738	199.7963	87.7422	284.5717	162.5223	86.2347	283.3012	166.223	74.4462	250.607	178.1101	85.0537	255.9093	179.4548	72.1456	273.4383	174.0284	129.0182	262.6312	179.0598	128.1855	295.5517	195.2968	70.7082	268.9397	206.9855	68.8168	284.3693	164.3139	21.0473	256.5173376	177.2010393	19.76162506	287.2925098	207.5329453	24.38094359	285.8066478	175.3877245	17.61565039	263.5853988	183.454289	16.94761653
vulpes_11	276.3106	174.7845	41.2892	267.4758	180.0329	40.1477	268.1559	178.1823	97.4735	303.119172	166.158468	53.47312245	246.6961	202.2049	49.8686	277.2254	176.914	44.4016	268.7138	181.9789	43.9798	291.3356	166.6457	29.3926	253.0139	187.6962	28.3296	272.3294	173.8981	137.687	258.7032	182.8371	136.8679	291.6989	184.882	93.2642	262.8446	201.2536	92.4666	292.9243	168.4967	76.9616	250.6848	194.6705	73.6907	283.0632	200.1046	89.5732	280.8068	162.5958	89.4044	281.1085	166.852	76.0349	248.7777	182.8333	87.1681	253.903	183.8528	74.3654	270.0819	171.6022	136.029	259.0938	180.1435	133.3741	297.5105	194.3551	72.4469	270.6751	211.7452	71.8927	285.079	162.4816	24.7232	255.7529	180.3915	21.841	292.3546545	208.709793	26.70895596	286.4796429	174.0983094	19.54780424	265.2824429	187.31105	17.7421313
